,Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
854,Intertek,3.7k,1.1k,Other - New Delhi +98 other locations,3.7k,58,16,N/A,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
855,Baazar Retail Private Limited,4.6k,1k,Retail - Kolkata +97 other locations,1.4k,73,1,"Company Culture, Work Life Balance, Work Satisfaction",N/A
856,PNC Infratech,3.8k,1k,Engineering & Construction - Agra +83 other locations,3.3k,65,9,Job Security,Promotions / Appraisal
857,Ion Exchange India,3.8k,1.1k,Waste Management - Mumbai +104 other locations,4.5k,77,23,Job Security,"Promotions / Appraisal, Salary & Benefits"
858,SYSKA LED Lights,2.8k,1k,Consumer Electronics & Appliances - Pune +157 other locations,2.5k,57,--,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
859,Citco,3.1k,1k,Management Consulting - Pune +12 other locations,7.1k,147,80,N/A,"Promotions / Appraisal, Company Culture, Work Life Balance"
860,Parexel International,3.8k,1k,"Clinical Research - Hyderabad , Secunderabad +22 other locations",5.6k,78,9,"Company Culture, Job Security",Promotions / Appraisal
861,Klm Axiva Finvest,4.4k,1k,"Financial Services - Bangalore , Bengaluru +154 other locations",675,432,11,"Company Culture, Work Life Balance, Work Satisfaction",N/A
862,Saipem,4.1k,1k,Engineering & Construction - Chennai +44 other locations,3.1k,47,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
863,ICICI Prudential Mutual Fund,3.8k,1k,Financial Services - Mumbai +154 other locations,5.2k,72,--,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
864,ACG Worldwide,4.0k,1k,Pharma - Mumbai +28 other locations,3.6k,72,29,Job Security,Promotions / Appraisal
865,City Union Bank,3.2k,1k,Banking - Chennai +153 other locations,4.8k,98,7,N/A,"Company Culture, Work Life Balance, Promotions / Appraisal"
866,Thyrocare Technologies,3.6k,1k,Healthcare - Mumbai +68 other locations,4.1k,78,42,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
867,Aarvee Associates,3.9k,1k,"Engineering & Construction - Hyderabad , Secunderabad +151 other locations",3.1k,80,1,Work Life Balance,Promotions / Appraisal
868,Grant Thornton,3.6k,1k,"Bangalore , Bengaluru +54 other locations",9.7k,107,212,N/A,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
869,Apex Group,2.7k,957,"Financial Services - Bangalore , Bengaluru +26 other locations",6.1k,149,285,N/A,"Promotions / Appraisal, Job Security, Company Culture"
870,OM Logistics,4.0k,1k,New Delhi +115 other locations,3.3k,72,9,"Job Security, Work Life Balance",Promotions / Appraisal
871,Kirloskar Oil Engines,4.1k,1k,Industrial Machinery - Pune +100 other locations,3.7k,53,12,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
872,PharmEasy,3.7k,1k,Internet - Mumbai +62 other locations,4.8k,84,29,N/A,"Job Security, Promotions / Appraisal"
873,PayPal,3.8k,1k,"FinTech - Bangalore , Bengaluru +14 other locations",7.9k,222,145,"Work Life Balance, Salary & Benefits, Company Culture","Promotions / Appraisal, Job Security, Skill Development / Learning"
874,Astral Pipe,4.0k,1k,Building Material - Ahmedabad +121 other locations,3.4k,73,50,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
875,Novo Nordisk,4.0k,1k,"Pharma - Bangalore , Bengaluru +66 other locations",5.3k,86,120,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
876,Wonder Home Finance,4.7k,1k,Financial Services - Jaipur +112 other locations,611,181,7,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
877,Centre for Development of Advanced Computing,3.8k,1k,IT Services & Consulting - Pune +35 other locations,6k,106,--,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Company Culture"
878,Intel,4.2k,1k,"Semiconductors - Bangalore , Bengaluru +34 other locations",7.9k,221,73,"Work Life Balance, Company Culture, Work Satisfaction",N/A
879,Coca-Cola Company,4.1k,1k,"Beverage - Bangalore , Bengaluru +183 other locations",3k,94,7,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
880,Dassault Systemes,3.9k,1k,Software Product - Pune +10 other locations,6.1k,171,3,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
881,Aerial Telecom Solutions,4.2k,1k,Telecom - Mohali +97 other locations,2k,62,1,"Company Culture, Work Life Balance, Work Satisfaction",N/A
882,Bajaj Motors,3.9k,1k,"Automobile - Gurgaon , Gurugram +76 other locations",3.3k,55,--,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
883,Jacobs Engineering Group,4.1k,995,Engineering & Construction - Mumbai +43 other locations,4.5k,75,6,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
884,Rockman Industries,3.8k,1k,Auto Components - Haridwar +36 other locations,3.7k,85,10,Skill Development / Learning,Promotions / Appraisal
885,Podar International School,4.2k,1k,Education & Training - Mumbai +119 other locations,3k,68,--,"Job Security, Skill Development / Learning, Company Culture",N/A
886,JK Lakshmi Cement,3.9k,992,Building Material - New Delhi +133 other locations,3.4k,66,1,Work Life Balance,N/A
887,Johnson Lifts,3.9k,999,Chennai +70 other locations,3.5k,45,--,"Job Security, Work Life Balance",Promotions / Appraisal
888,Rashmi Metaliks,3.4k,1k,Iron & Steel - Kharagpur +36 other locations,4.1k,89,18,N/A,"Company Culture, Promotions / Appraisal, Work Satisfaction"
889,Piaggio,3.5k,988,Automobile - Pune +74 other locations,3.7k,64,--,N/A,"Promotions / Appraisal, Job Security, Salary & Benefits"
890,Nielsen,3.7k,994,"Analytics & KPO - Bangalore , Bengaluru +71 other locations",5.7k,131,--,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
891,Salesforce,4.0k,988,"Software Product - Hyderabad , Secunderabad +36 other locations",9.9k,233,71,"Salary & Benefits, Work Life Balance, Company Culture",N/A
892,Orchids International School,3.0k,1k,"Education & Training - Bangalore , Bengaluru +33 other locations",3.5k,104,24,N/A,"Promotions / Appraisal, Company Culture, Job Security"
893,Colliers India,3.9k,993,"Real Estate - Bangalore , Bengaluru +42 other locations",4.3k,74,54,N/A,Promotions / Appraisal
894,Edelweiss Life Insurance,3.7k,991,Insurance - Mumbai +120 other locations,3.5k,51,69,N/A,"Promotions / Appraisal, Work Satisfaction"
895,Dhoot Transmission,3.7k,990,Power - Aurangabad +38 other locations,3.8k,60,8,N/A,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
896,_VOIS,3.9k,990,IT Services & Consulting - Pune +20 other locations,5.4k,153,60,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
897,Spencer's Retail,3.8k,979,Retail - Kolkata +59 other locations,2.8k,52,4,N/A,"Promotions / Appraisal, Work Satisfaction"
898,Strides Pharma,3.9k,981,"Pharma - Bangalore , Bengaluru +32 other locations",4k,63,--,Skill Development / Learning,"Job Security, Promotions / Appraisal"
899,Genius Consultants,3.7k,986,Kolkata +89 other locations,3.8k,63,1,N/A,"Promotions / Appraisal, Salary & Benefits"
900,Adani Ports and SEZ,3.8k,977,Ports & Shipping - Mundra +60 other locations,3.9k,66,--,N/A,Promotions / Appraisal
901,Viraj Profiles,3.8k,992,Iron & Steel - Mumbai +22 other locations,4.2k,83,8,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
902,MDIndia Health Insurance TPA,3.6k,983,Insurance - Pune +80 other locations,3.4k,61,62,N/A,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
903,Barbeque Nation,3.9k,979,"Hospitality - Bangalore , Bengaluru +76 other locations",2.5k,38,7,"Company Culture, Skill Development / Learning, Job Security",N/A
904,Onward Technologies Inc,3.0k,977,IT Services & Consulting - Pune +63 other locations,5.5k,80,8,N/A,"Job Security, Promotions / Appraisal, Skill Development / Learning"
905,GAIL,4.4k,969,Oil & Gas - New Delhi +98 other locations,3.1k,69,--,"Company Culture, Work Life Balance, Work Satisfaction",N/A
906,Fusion Microfinance,4.1k,974,NBFC - New Delhi +256 other locations,2.5k,41,4,"Job Security, Company Culture, Work Life Balance",N/A
907,Bharat Sanchar Nigam,4.0k,964,"Telecom - Bangalore , Bengaluru +226 other locations",2.5k,41,--,"Work Life Balance, Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
908,JTEKT,4.1k,984,"Auto Components - Gurgaon , Gurugram +25 other locations",3.9k,73,--,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
909,Hyundai Mobis,3.8k,963,Auto Components - Chennai +45 other locations,4.7k,67,4,"Job Security, Salary & Benefits",Promotions / Appraisal
910,Diageo,4.0k,972,"Beverage - Bangalore , Bengaluru +92 other locations",5.6k,72,55,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
911,Stanza Living,3.0k,964,"Internet - Bangalore , Bengaluru +33 other locations",3.3k,83,33,N/A,"Job Security, Promotions / Appraisal, Company Culture"
912,Biocon Biologics,3.6k,957,"Biotechnology - Bangalore , Bengaluru +25 other locations",6k,97,2,N/A,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
913,HFCL Limited,3.9k,957,"Telecom - Hyderabad , Secunderabad +106 other locations",3.7k,71,46,Work Life Balance,Promotions / Appraisal
914,Ahluwalia Contracts India,4.0k,969,Engineering & Construction - New Delhi +54 other locations,3k,58,20,"Job Security, Work Life Balance",N/A
915,London Stock Exchange Group,3.9k,972,"Financial Services - Bangalore , Bengaluru +11 other locations",8.9k,142,--,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
916,Birla Corporation,4.1k,956,Building Material - Kolkata +130 other locations,3.3k,63,1,"Work Life Balance, Job Security, Work Satisfaction",N/A
917,Kalpataru Limited,4.1k,966,Real Estate - Mumbai +74 other locations,4k,136,19,"Job Security, Work Life Balance, Skill Development / Learning",N/A
918,Innova Solutions,3.4k,962,"IT Services & Consulting - Hyderabad , Secunderabad +31 other locations",6.9k,90,71,N/A,"Promotions / Appraisal, Job Security, Skill Development / Learning"
919,Syngenta,4.1k,960,Agriculture - Pune +154 other locations,3.3k,69,56,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
920,KIMS Hospital,4.0k,962,"Hyderabad , Secunderabad +50 other locations",3.1k,43,--,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
921,Sahara India Pariwar,3.8k,952,Broadcasting - Lucknow +237 other locations,2.4k,27,--,N/A,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
922,Siemens Gamesa Renewable Power Private Limited,4.1k,951,"Power - Bangalore , Bengaluru +59 other locations",4.8k,55,95,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
923,Imperial Auto Industries,3.9k,951,Auto Components - Faridabad +35 other locations,4.2k,62,4,Job Security,"Promotions / Appraisal, Salary & Benefits"
924,Zf Rane Automotive,4.0k,950,Auto Components - Chennai +47 other locations,3.7k,56,--,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
925,Nexa,3.9k,947,Automobile - New Delhi +196 other locations,2.4k,37,--,Skill Development / Learning,"Promotions / Appraisal, Job Security"
926,Power Grid Corporation of India,4.4k,942,"Power - Gurgaon , Gurugram +212 other locations",1.9k,67,--,"Salary & Benefits, Company Culture, Work Life Balance",N/A
927,Altisource,3.6k,942,"Real Estate - Bangalore , Bengaluru +10 other locations",3.9k,41,266,N/A,"Job Security, Promotions / Appraisal, Skill Development / Learning"
928,Kirloskar Brothers,3.8k,940,Industrial Machinery - Pune +64 other locations,4k,77,12,Work Life Balance,"Promotions / Appraisal, Job Security"
929,DLF,3.9k,946,"Real Estate - Gurgaon , Gurugram +31 other locations",4k,85,1,Salary & Benefits,Promotions / Appraisal
930,Tube Investments of India,3.9k,940,Engineering & Construction - Chennai +59 other locations,3.2k,52,18,"Job Security, Skill Development / Learning",Promotions / Appraisal
931,Zydus Wellness,4.0k,945,FMCG - Ahmedabad +120 other locations,2.4k,80,23,"Salary & Benefits, Company Culture, Work Life Balance",N/A
932,Muthoot Microfin,4.1k,962,NBFC - Kochi +290 other locations,2.3k,41,8,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
933,Willis Towers Watson,3.6k,1k,Management Consulting - Mumbai +16 other locations,7k,101,--,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
934,1point1 Solutions,3.4k,935,"BPO - Bangalore , Bengaluru +17 other locations",3k,76,53,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
935,Globant,3.8k,955,IT Services & Consulting - Pune +13 other locations,8.3k,180,75,"Work Life Balance, Company Culture",Promotions / Appraisal
936,TKIL,4.2k,933,Industrial Machinery - Pune +53 other locations,4.4k,63,1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
937,Aptiv,3.5k,944,"Auto Components - Bangalore , Bengaluru +24 other locations",6.9k,105,3,N/A,"Promotions / Appraisal, Company Culture, Work Life Balance"
938,Sundaram Finance,4.1k,935,NBFC - Chennai +230 other locations,2.7k,36,18,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
939,Sri Chaitanya Educational Institutions,3.8k,940,"Education & Training - Hyderabad , Secunderabad +94 other locations",2.9k,41,2,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
940,Ceasefire Industries,3.3k,941,Industrial Machinery - New Delhi +74 other locations,2.5k,110,10,N/A,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
941,TK Elevator,3.8k,928,Pune +72 other locations,3.9k,58,23,N/A,"Promotions / Appraisal, Work Satisfaction"
942,Federal Bank,3.8k,929,Banking - Mumbai +143 other locations,4.6k,110,--,"Job Security, Salary & Benefits","Work Satisfaction, Promotions / Appraisal, Skill Development / Learning"
943,CaratLane - A Tata Product,4.2k,940,Jewellery - Chennai +72 other locations,2.5k,53,86,"Company Culture, Skill Development / Learning, Job Security",N/A
944,Patra Corporation,3.7k,944,BPO - Visakhapatnam +19 other locations,4.2k,80,2,Job Security,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning"
945,Episource,3.9k,930,IT Services & Consulting - Chennai +17 other locations,3.4k,224,2,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
946,Unicharm,4.1k,934,"FMCG - Gurgaon , Gurugram +169 other locations",2.8k,58,4,"Salary & Benefits, Company Culture, Job Security",N/A
947,HPCL-Mittal Energy Limited,4.3k,931,Petrochemicals - Bathinda +28 other locations,4.2k,40,--,"Work Life Balance, Job Security, Salary & Benefits",N/A
948,Mando Automotive,3.9k,923,Auto Components - Chennai +20 other locations,4.3k,52,--,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
949,V2 Retail,3.4k,931,Retail - New Delhi +106 other locations,2.4k,67,30,N/A,"Job Security, Company Culture, Work Satisfaction"
950,CALIBEHR,4.0k,927,IT Services & Consulting - Mumbai +159 other locations,2.6k,62,10,"Company Culture, Skill Development / Learning",Promotions / Appraisal
951,iQor Global Services,3.4k,923,BPO - Noida +50 other locations,2.4k,31,34,N/A,"Promotions / Appraisal, Job Security, Skill Development / Learning"
952,Temenos,3.1k,930,Software Product - Chennai +9 other locations,8.4k,89,22,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
953,H.G. Infra Engineering,4.1k,933,Engineering & Construction - Jaipur +87 other locations,2.7k,88,8,"Salary & Benefits, Skill Development / Learning, Company Culture",N/A
954,Aircel,4.4k,913,Telecom - New Delhi +114 other locations,1.3k,8,--,"Company Culture, Work Life Balance, Work Satisfaction",N/A
955,JW Marriott,4.1k,916,Hospitality - Mumbai +42 other locations,2k,43,--,"Job Security, Skill Development / Learning, Company Culture",N/A
956,MAHLE ANAND Filter Systems,3.9k,919,Auto Components - Pune +29 other locations,3.2k,30,--,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
957,Gmmco,4.1k,921,Industrial Machinery - Chennai +85 other locations,2.7k,43,1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
958,Hindustan Zinc,3.7k,916,Metals & Mining - Udaipur +30 other locations,4.1k,47,--,Salary & Benefits,"Company Culture, Work Life Balance, Promotions / Appraisal"
959,Petrofac,4.3k,911,Oil & Gas - Chennai +40 other locations,2.4k,42,6,"Salary & Benefits, Work Life Balance, Company Culture",N/A
960,Hikal,3.8k,914,"Pharma - Bangalore , Bengaluru +22 other locations",4.3k,62,74,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
961,Spandana Sphoorty Financial,3.8k,920,"NBFC - Hyderabad , Secunderabad +273 other locations",2.2k,41,2,N/A,N/A
962,Indira IVF Hospital,3.9k,922,Mumbai +95 other locations,2.7k,50,77,Skill Development / Learning,Promotions / Appraisal
963,TradeIndia (Infocom Network Private Limited),3.3k,921,Internet - New Delhi +41 other locations,4.3k,77,39,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
964,Vedanta Aluminium,3.9k,918,Metals & Mining - Jharsuguda +37 other locations,4.3k,53,3,"Job Security, Salary & Benefits","Work Satisfaction, Promotions / Appraisal"
965,Aspire Systems,3.8k,917,IT Services & Consulting - Chennai +22 other locations,8.8k,121,120,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
966,Sri Chaitanya Techno Schools,3.7k,920,"Bangalore , Bengaluru +137 other locations",3.1k,60,--,N/A,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
967,MakeMyTrip,3.6k,916,"Internet - Gurgaon , Gurugram +42 other locations",6.6k,130,10,N/A,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
968,Zetwerk,4.0k,917,"Internet - Bangalore , Bengaluru +102 other locations",3.4k,98,25,"Salary & Benefits, Company Culture, Work Life Balance","Job Security, Promotions / Appraisal"
969,Metropolis Healthcare,4.0k,902,Healthcare - Mumbai +88 other locations,3.3k,52,15,"Skill Development / Learning, Work Life Balance, Job Security",Promotions / Appraisal
970,Dana Anand,4.1k,915,Auto Components - Pune +45 other locations,2.8k,47,--,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
971,CarDekho Group,3.7k,909,"Internet - Gurgaon , Gurugram +76 other locations",4.7k,77,13,N/A,"Promotions / Appraisal, Job Security"
972,SitusAMC,3.3k,902,"Software Product - Bangalore , Bengaluru +19 other locations",4.7k,68,--,N/A,"Job Security, Promotions / Appraisal, Skill Development / Learning"
973,Meril,3.7k,917,Pharma - Vapi +68 other locations,4k,63,19,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
974,Thermo Fisher Scientific,3.8k,900,"Biotechnology - Bangalore , Bengaluru +31 other locations",5.6k,91,4,"Work Life Balance, Job Security",Promotions / Appraisal
975,NetAmbit,3.7k,913,BPO - Noida +111 other locations,2.9k,94,6,N/A,"Job Security, Promotions / Appraisal, Company Culture"
976,eClinicalWorks,3.8k,903,Software Product - Mumbai +16 other locations,4.8k,73,4,"Job Security, Work Life Balance, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
977,TechnipFMC,4.0k,900,"Industrial Machinery - Hyderabad , Secunderabad +43 other locations",4.8k,75,129,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
978,CNH Industrial,3.7k,904,"Automobile - Gurgaon , Gurugram +63 other locations",3.7k,67,9,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
979,Prism Johnson,3.8k,897,Building Material - Mumbai +132 other locations,3.9k,56,--,N/A,Promotions / Appraisal
